call_id,timestamp,date,hour,day_of_week,month,agent_id,call_reason,channel,wait_time_sec,handle_time_sec,hold_time_sec,wrap_up_time_sec,total_time_sec,abandoned,resolved,first_call_resolution,csat_score,sentiment,outcome,call_cost_usd
CALL00001,2024-04-12 16:14:00,2024-04-12,16,Friday,April,Agent_04,Billing Inquiry,Chat,164,271,3,55,490,0,1,1,5.0,Negative,Callback Scheduled,2.03
CALL00002,2024-05-29 09:23:00,2024-05-29,9,Wednesday,May,Agent_08,Product Information,Email,42,244,21,50,336,0,1,1,3.0,Positive,Resolved,1.22
CALL00003,2024-02-28 12:27:00,2024-02-28,12,Wednesday,February,Agent_18,Technical Support,Video Call,47,326,28,44,417,0,1,1,5.0,Negative,Unresolved,5.98
CALL00004,2024-05-14 11:38:00,2024-05-14,11,Tuesday,May,Agent_02,Billing Inquiry,Phone,513,60,0,82,655,1,0,0,,Positive,Abandoned,0.85
CALL00005,2024-04-01 13:06:00,2024-04-01,13,Monday,April,Agent_07,Product Information,Chat,322,253,12,36,611,0,1,1,4.0,Negative,Transferred,1.9
CALL00006,2024-07-09 17:43:00,2024-07-09,17,Tuesday,July,Agent_01,Refund Request,Video Call,405,388,5,63,856,1,0,0,,Positive,Abandoned,7.11
CALL00007,2024-07-08 12:15:00,2024-07-08,12,Monday,July,Agent_18,Cancellation Request,Chat,139,355,56,61,555,0,1,1,3.0,Positive,Unresolved,2.66
CALL00008,2024-12-10 19:23:00,2024-12-10,19,Tuesday,December,Agent_19,Complaint,Phone,62,411,55,73,546,0,1,1,5.0,Positive,Escalated,5.82
CALL00009,2024-07-19 14:33:00,2024-07-19,14,Friday,July,Agent_14,Order Tracking,Phone,83,445,53,84,612,0,1,1,4.0,Neutral,Escalated,6.3
CALL00010,2024-05-10 16:25:00,2024-05-10,16,Friday,May,Agent_07,Order Tracking,Phone,53,281,13,40,374,0,1,1,4.0,Positive,Resolved,3.98
CALL00011,2024-08-09 10:38:00,2024-08-09,10,Friday,August,Agent_13,Technical Support,Phone,253,202,159,49,504,0,1,0,5.0,Neutral,Callback Scheduled,2.86
CALL00012,2024-02-13 13:10:00,2024-02-13,13,Tuesday,February,Agent_20,Complaint,Phone,23,386,19,54,463,0,1,1,4.0,Positive,Unresolved,5.47
CALL00013,2024-09-15 08:07:00,2024-09-15,8,Sunday,September,Agent_18,Technical Support,Phone,119,168,16,78,365,0,0,0,3.0,Neutral,Resolved,2.38
CALL00014,2024-08-20 12:48:00,2024-08-20,12,Tuesday,August,Agent_18,Complaint,Phone,51,430,9,80,561,0,1,1,5.0,Negative,Transferred,6.09
CALL00015,2024-08-07 09:36:00,2024-08-07,9,Wednesday,August,Agent_12,Upgrade Request,Phone,181,340,35,99,620,0,1,1,4.0,Positive,Resolved,4.82
CALL00016,2024-09-11 16:04:00,2024-09-11,16,Wednesday,September,Agent_02,Product Information,Chat,180,194,108,61,435,0,1,1,1.0,Neutral,Resolved,1.46
CALL00017,2024-05-27 12:35:00,2024-05-27,12,Monday,May,Agent_08,Technical Support,Phone,129,377,11,35,541,0,1,1,5.0,Neutral,Callback Scheduled,5.34
CALL00018,2024-05-08 15:56:00,2024-05-08,15,Wednesday,May,Agent_15,Order Tracking,Phone,465,257,64,71,793,0,1,1,3.0,Positive,Callback Scheduled,3.64
CALL00019,2024-10-30 18:04:00,2024-10-30,18,Wednesday,October,Agent_12,Product Information,Email,180,151,77,33,364,0,1,0,5.0,Negative,Callback Scheduled,0.76
CALL00020,2024-04-25 10:07:00,2024-04-25,10,Thursday,April,Agent_03,Upgrade Request,Chat,199,78,168,83,360,0,1,1,4.0,Negative,Escalated,0.59
CALL00021,2024-06-11 15:40:00,2024-06-11,15,Tuesday,June,Agent_18,Product Information,Phone,3,140,27,59,202,0,1,1,4.0,Positive,Unresolved,1.98
CALL00022,2024-06-24 10:50:00,2024-06-24,10,Monday,June,Agent_13,Complaint,Chat,51,337,40,61,449,0,1,1,4.0,Negative,Transferred,2.53
CALL00023,2024-04-06 14:32:00,2024-04-06,14,Saturday,April,Agent_08,Order Tracking,Phone,230,171,169,69,470,0,1,1,1.0,Positive,Escalated,2.42
CALL00024,2024-10-06 12:45:00,2024-10-06,12,Sunday,October,Agent_02,Order Tracking,Video Call,596,245,29,75,916,0,1,1,4.0,Neutral,Callback Scheduled,4.49
CALL00025,2024-08-10 17:02:00,2024-08-10,17,Saturday,August,Agent_03,Product Information,Phone,18,306,125,37,361,0,1,1,5.0,Negative,Callback Scheduled,4.33
CALL00026,2024-06-24 14:41:00,2024-06-24,14,Monday,June,Agent_07,General Inquiry,Email,299,361,96,137,797,0,1,0,5.0,Neutral,Unresolved,1.8
CALL00027,2024-05-22 12:01:00,2024-05-22,12,Wednesday,May,Agent_05,Complaint,Phone,200,190,240,50,440,0,1,1,1.0,Positive,Escalated,2.69
CALL00028,2024-09-27 12:59:00,2024-09-27,12,Friday,September,Agent_18,Refund Request,Phone,316,445,12,56,817,0,1,1,3.0,Neutral,Transferred,6.3
CALL00029,2024-05-03 15:18:00,2024-05-03,15,Friday,May,Agent_14,Upgrade Request,Chat,56,204,1,57,317,0,1,0,5.0,Neutral,Callback Scheduled,1.53
CALL00030,2024-05-08 11:00:00,2024-05-08,11,Wednesday,May,Agent_08,Account Management,Phone,49,322,43,71,442,0,1,1,5.0,Negative,Unresolved,4.56
CALL00031,2024-03-16 14:50:00,2024-03-16,14,Saturday,March,Agent_03,Billing Inquiry,Chat,2,271,6,97,370,0,1,1,3.0,Positive,Escalated,2.03
CALL00032,2024-08-09 15:57:00,2024-08-09,15,Friday,August,Agent_06,Cancellation Request,Chat,181,284,58,50,515,0,1,1,3.0,Negative,Resolved,2.13
CALL00033,2024-10-06 18:01:00,2024-10-06,18,Sunday,October,Agent_13,Cancellation Request,Phone,158,313,29,73,544,0,1,1,4.0,Negative,Unresolved,4.43
CALL00034,2024-04-10 14:00:00,2024-04-10,14,Wednesday,April,Agent_17,Complaint,Video Call,424,333,4,47,804,0,1,1,5.0,Negative,Resolved,6.11
CALL00035,2024-04-14 13:57:00,2024-04-14,13,Sunday,April,Agent_04,Refund Request,Chat,178,343,97,71,592,0,1,1,5.0,Neutral,Callback Scheduled,2.57
CALL00036,2024-07-10 14:34:00,2024-07-10,14,Wednesday,July,Agent_04,Complaint,Phone,83,219,160,83,385,0,1,1,5.0,Neutral,Escalated,3.1
CALL00037,2024-08-04 11:29:00,2024-08-04,11,Sunday,August,Agent_15,Billing Inquiry,Email,126,237,135,78,441,0,1,1,5.0,Negative,Callback Scheduled,1.19
CALL00038,2024-03-16 12:27:00,2024-03-16,12,Saturday,March,Agent_17,Account Management,Video Call,541,529,35,81,1151,0,1,1,5.0,Negative,Resolved,9.7
CALL00039,2024-05-30 16:38:00,2024-05-30,16,Thursday,May,Agent_10,Refund Request,Phone,122,309,34,46,477,0,1,1,2.0,Negative,Escalated,4.38
CALL00040,2024-03-16 15:57:00,2024-03-16,15,Saturday,March,Agent_05,Order Tracking,Chat,19,329,4,49,397,0,1,1,2.0,Positive,Transferred,2.47
CALL00041,2024-06-13 11:07:00,2024-06-13,11,Thursday,June,Agent_17,Billing Inquiry,Phone,83,213,90,55,351,0,1,1,5.0,Negative,Callback Scheduled,3.02
CALL00042,2024-02-08 13:44:00,2024-02-08,13,Thursday,February,Agent_16,Billing Inquiry,Phone,113,338,82,43,494,0,1,0,4.0,Positive,Callback Scheduled,4.79
